"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-08",,"60","69","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-09",,"60","69",
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-10","0.16","57","69","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-12",,"56","67","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-13",,"58","66","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-14","0.00","55","65","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-15","0.75","55","65","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-16","0.00","56","65","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-17","0.20","56","67","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-18","0.12","53","67","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-19","0.43","56","65","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-20","0.75","57","67","48"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-21","0.24","53","67","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-22","0.04","55","62","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-23","0.83","55","67","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-25","0.43","58","68","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-27","0.02","57","66","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-28","0.00","58","66","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-29","0.01","57","68","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-30","0.00","58","68","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-03-31",,"59","68","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-01","0.55","56","67","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-02","0.00","56","73","53"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-03",,"58","68","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-04",,"54","68","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-05",,"58",,"40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-06","0.35","55","69","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-07","0.08","58","68","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-08","0.00","56","68","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-09",,"57","65","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-10","0.08","54","67","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-11","0.08","58","69","49"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-12","0.08","59","70","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-13","0.00","59","70","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-14",,"57","68","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-15","0.00","56","68","48"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-16","0.04","58","70","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-17","0.24","56","70","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-18","0.16","53","68","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-20","0.59","53","67","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-21","0.16","56","64","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-22","0.39","53","62","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-23","0.00","54","70","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-24","0.51","58","68","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-25","0.00","58","68","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-26",,"57","68","37"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-27",,"55","68","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-29",,"56","66","38"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-04-30","0.35","56","68","44"
